Movie,Director,Distribution,Star,Rating,Budget,BoxOffice,RunningTime,Genre,Year,Month,Tomatometer
TheGoodShepherd,RobertDeNiro,UniversalPictures,MattDamon,R,164.919,121.6,167,Spy,2006,December,0.53
WeAreMarshall,McG,WarnerBros.Pictures,MatthewMcConaughey,PG,119.108,53.1,131,Biography,2006,December,0.49
ChildrenofMen,AlfonsoCuaron,UniversalPictures,CliveOwen,R,139.265,85.5,109,Thriller,2006,December,0.92
NotesonaScandal,RichardEyre,FoxSearchlightPictures,JudiDench,R,27.487,60.8,91,Thriller,2006,December,0.87
BlackChristmas,GlenMorgan,DimensionFilms,KatieCassidy,R,16.492,26.3,84,Horror,2006,December,0.15
ArthurandtheInvisibles,LucBesson,MetroGoldwynMayer,FreddieHighmore,PG,155.757,131.8,94,Animated,2006,December,0.21
PansLabyrinth,GuillermodelToro,Picturehouse,SergiLopez,R,34.816,101.8,119,Fantasy,2006,December,0.95
Perfume:TheStoryofaMurderer,TomTykwer,DreamWorksPictures,BenWhishaw,R,110.218,165.3,147,Crime,2007,January,0.57
FreedomWriters,RichardLaGravenese,ParamountPictures,HilarySwank,PG13,38.576,52.8,122,Drama,2007,January,0.7
HappilyNEverAfter,PaulJ.Bolger,Lionsgate,SarahMichelleGellar,PG,86.337,46.5,87,Animated,2007,January,0.04
CodeName:TheCleaner,LesMayfield,NewLineCinema,CedrictheEntertainer,PG13,36.739,12.7,84,Action,2007,January,0.04
Three,RobbyHenson,TheBiggerPicture,MarcBlucas,PG13,4.409,1.7,101,Horror,2007,January,0.05
StomptheYard,SylvianWhite,ScreenGems,ColumbusShort,PG13,23.88,92.5,109,Dance,2007,January,0.26
MissPotter,ChrisNoonan,TheWeinsteinCompany,ReneeZellweger,PG,55.109,43,92,Biography,2007,January,0.66
ThePaintedVeil,JohnCurran,WarnerBros.Pictures,NaomiWatts,PG13,35.637,32.8,125,Drama,2007,January,0.74
EpicMovie,JasonFriedbergAaronSeltzer,20thCenturyFox,KalPenn,PG13,36.739,106.4,85,Comedy,2007,January,0.02
CatchandRelease,SusannahGrant,ColumbiaPictures,JenniferGarner,PG13,45.924,19.6,107,Romance,2007,January,0.21
Blood&Chocolate,KatjavonGarnier,MetroGoldwynMayer,AgnesBuckner,PG13,27.554,7.7,98,Fantasy,2007,January,0.11
BecauseISaidSo,MichaelLehmann,UniversalPictures,DianeKeaton,PG13,71.577,85,102,Romance,2007,February,0.04
TheMessengers,PangBrothers,SonyPicturesReleasing,KristenStewart,PG13,29.365,67.3,90,Horror,2007,February,0.12
Norbit,BrianRobbins,ParamountPictures,EddieMurphy,PG13,110.119,194.9,102,Romance,2007,February,0.09
